15563,10982
7034,16178
10512,1243
964,3050
1764,1413
9525,21
27849,6481
6345,5753
3168,16664
3542,101
32898,6725
3325,2318
2270,2682
20123,3141
22782,19594
7055,1190
4199,34373
9983,5036
26103,6927
8178,4902
10625,2059
1265,25794
304,910
5567,1672
10639,10036
22140,4851
26142,28732
20936,22088
16792,1507
8323,6754
2170,2451
19659,17909
27728,28004
32134,98
1605,13784
547,4051
5363,1118
9038,283
9786,11288
18846,18560
605,1023
2219,2343
2165,11906
2871,54
768,2707
10066,7141
2403,4904
22554,6531
11967,567
14763,2796
1284,1311
13114,16007
1914,30754
2285,4094
7761,31567
263,1259
196,37
13952,110
5801,10362
13360,198
32742,5057
4549,31345
257,690
6721,7329
8562,704
2584,16212
4479,24
8883,5226
29943,6694
28209,23739
490,3143
4118,8878
6229,10250
5130,4680
24315,23712
5410,533
12939,6742
4735,1118
960,4755
1179,26750
3855,547
431,2913
3998,101
6717,29437
25383,3581
357,520
27264,18986
5397,15762
3576,21511
7424,1191
3317,117
14337,5182
11906,2142
5434,18273
1236,839
2783,183
2950,34066
15081,3613
1855,322
850,7219
599,3436
6742,27400
25341,322
1818,14026
16192,5810
21579,2666
16472,8079
3709,348
4824,35
37,1454
7982,6787
9943,7434
18248,6694
2061,3581
3679,20104
12542,11778
13732,17466
369,880
15313,11476
17860,169
16177,964
4118,14489
28002,8900
22410,2944
5763,3788
3583,4531
8774,2973
12757,6455
5477,7366
964,1440
16398,28667
8517,5791
25666,1179
9580,5288
5540,5436
800,285
459,6408
6495,704
16730,18294
3721,2960
1577,3360
3230,3854
13114,14047
2233,1944
34349,964
24661,31838
4529,15147
25289,24991
33848,3422
19023,19121
15332,13007
23132,1020
22178,15776
4680,8900
17886,27000
1535,101
1139,101
24131,2976
605,12245
690,1995
30194,14933
11429,10982
2005,1713
2406,2811
185,547
314,3401
9999,4309
2247,8416
11836,194
279,182
657,9402
4360,35
25959,24412
11954,4387
23628,1574
16716,1191
30104,25189
2483,964
10580,275
19573,6325
34,2980
27852,10780
20047,16007
9614,4094
1333,2976
2327,10250
4263,3485
12328,16090
7802,2789
1243,50
13389,25340
18011,14994
613,12486
21196,8108
25428,33794
6284,8347
1454,4434
2323,682
768,25606
15213,4024
33045,3606
803,3161
10780,9381
490,27547
14938,11898
18627,14179
12660,9100
2822,780
12029,12266
25078,30382
5122,5057
23801,19787
2943,2992
13335,11898
23446,27732
5613,1884
3906,2285
11053,8200
5179,3312
690,1190
638,1000
15264,13007
23452,18098
699,21655
16309,5539
30483,1399
2443,23765
27433,14337
22734,9187
5011,503
971,651
24969,2489
11680,23759
20800,537
2061,1971
29569,17459
18430,10982
26244,26220
4199,8172
31773,2780
32312,19273
2266,8792
28540,27345
5850,1423
6599,32278
26168,14332
4604,2973
27814,13655
13134,631
654,18098
7924,2913
1301,2633
15306,9826
526,6020
2171,2489
1397,25726
26409,26445
2351,1144
25014,5241
13732,4902
703,8541
104,3294
10780,5543
2153,3788
2251,159
17784,8898
33005,29416
1729,1740
201,194
2159,570
5638,2075
1973,2100
21231,5203
2515,1925
20047,14047
8340,3888
17500,6860
2335,2489
20671,3294
22325,26644
2858,2264
8281,275
2682,3728
19421,8108
25238,10210
35,5759
4,30
18147,14026
4252,3995
15551,2059
29,1026
8305,1800
21157,20156
15343,17571
18914,3581
10920,30032
23931,23535
699,3480
14763,1454
2725,15102
2653,704
20963,3294
12502,6150
1819,6894
1194,426
29901,12266
7329,7533
5519,7055
1164,1715
3683,1192
19421,537
16853,10967
2061,22642
16598,16864
29482,3422
28232,27484
13513,8116
820,5288
3368,9667
11898,13741
25432,14933
18242,6692
9520,7329
14325,17793
18147,3422
11612,5241
29382,9607
2584,2388
8095,1000
1672,9476
1899,2285
3019,2316
32930,29376
3232,3363
173,0
12447,5288
6724,2821
30189,1944
800,98
14930,1321
673,1454
23172,19480
29211,14047
19655,8823
1684,37
12155,1854
14763,16864
3935,14221
14176,6716
27212,14047
14115,2276
14103,761
4152,22557
13732,25923
24722,3230
159,1391
1783,3399
7225,5624
8259,10799
964,98
27732,15776
843,8439
10223,15127
24532,100
